HTS Code,Hs header,Indicative Description
01051122,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Weighing not more than 185 g: Fowls of the species Gallus domesticus - Broilers for domestic production: Over access commitment
01059492,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Other: Fowls of the species Gallus domesticus - Other: Over access commitment
01059912,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",Other: Other - Turkeys: Over access commitment
02071191,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, fresh or chilled - Other: Within access commitment"
02071192,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, fresh or chilled - Other: Over access commitment"
02071291,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, frozen - Other: Within access commitment"
02071292,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Not cut in pieces, frozen - Other: Over access commitment"
02071392,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, fresh or chilled - Other: Over access commitment, bone in"
02071393,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, fresh or chilled - Other: Over access commitment, boneless"
02071421,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, frozen - Livers: Within access commitment"
02071422,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.","Of fowls of the species Gallus domesticus: Cuts and offal, frozen - Livers: Over access commitment"
