hts8,brief_description
1012100,Live purebred breeding horses
1012900,Live horses other than purebred breeding horses
1013000,Live asses
1013000,Live asses
1019030,Mules and hinnies imported for immediate slaughter
1019040,Mules and hinnies not imported for immediate slaughter
1019040,Mules and hinnies not imported for immediate slaughter
1022100,Live purebred breeding cattle
1022920,Cows imported specially for dairy purposes
1022940,Live cattle other than purebred or those imported for dairy purposes
1022940,Live cattle other than purebred or those imported for dairy purposes
1023100,Live purebred breeding buffalo
1023900,"Live buffalo, other than purebred breeding animals"
1023900,"Live buffalo, other than purebred breeding animals"
1029000,"Live bovine animals, other than cattle and buffalo"
1029000,"Live bovine animals, other than cattle and buffalo"
1031000,Live purebred breeding swine
1039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each"
1039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more"
1041000,Live sheep
1042000,Live goats
1042000,Live goats
1051100,Live chickens weighing not over 185 g each
1051100,Live chickens weighing not over 185 g each
1051200,Live turkeys weighing not more than over 185 g each
1051200,Live turkeys weighing not more than over 185 g each
1051300,"Live ducks, weighing not more than 185 g each"
1051300,"Live ducks, weighing not more than 185 g each"
1051400,"Live geese, weighing not more than 185 g each"
1051400,"Live geese, weighing not more than 185 g each"
1051500,"Live guinea fowls, weighing not more than 185 g each"
1051500,"Live guinea fowls, weighing not more than 185 g each"
1059400,Live Poultry;Chickens
1059400,Live Poultry;Chickens
1059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each"
1059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each"
1061100,Live primates
1061201,"Live whales, dolphins and porpoises; manatees and dugongs, seals, sea lions, and walruses"
1061300,Live camels and other camelids (Camelidae)
1061400,Live rabbits and hares
1061930,Live foxes
1061930,Live foxes
1061991,"Live mammals, not elsewhere specified or included"
1062000,Live reptiles (including snakes and turtles)
1063100,Live birds of prey
1063100,Live birds of prey
1063200,"Live psittaciforme birds (including parrots, parakeets, macaws and cockatoos)"
1063200,"Live psittaciforme birds (including parrots, parakeets, macaws and cockatoos)"
1063300,Ostriches; emus
1063300,Ostriches; emus
1063901,"Live birds, other than poultry, birds of prey or psittaciforme birds"
1063901,"Live birds, other than poultry, birds of prey or psittaciforme birds"
1064100,Bees
1064900,Live insects other than bees
1069001,"Live animals other than mammals, reptiles, insects, and birds"
2011005,"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"
2011005,"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"
2011010,"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2"
2011010,"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2"
2011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2"
2011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2"
2012002,"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"
2012002,"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"
2012004,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"
2012004,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"
2012006,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in gen. note 15 of the HTS"
2012006,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in gen. note 15 of the HTS"
2012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"
2012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"
