RULING,RULING_DATE,Found_HTS8,brief_description
NY N350685,7/25/25,9619.00.11,"Sanitary napkins and tampons, diapers and diaper liners and similar sanitary articles, of paper pulp"
NY N350685,7/25/25,9619.00.11,"Sanitary napkins and tampons, diapers and diaper liners and similar sanitary articles, of paper pulp"
NY N350685,7/25/25,9619.00.11,"Sanitary napkins and tampons, diapers and diaper liners and similar sanitary articles, of paper pulp"
NY N350685,7/25/25,9619.00.11,"Sanitary napkins and tampons, diapers and diaper liners and similar sanitary articles, of paper pulp"
NY N350685,7/25/25,9619.00.11,"Sanitary napkins and tampons, diapers and diaper liners and similar sanitary articles, of paper pulp"
NY N350685,7/25/25,9619.00.11,"Sanitary napkins and tampons, diapers and diaper liners and similar sanitary articles, of paper pulp"
NY N350685,7/25/25,9903.01.25,
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,4202.32.93,"Articles of a kind normally carried in the pocket or handbag, with outer surface of MMF"
NY N350763,7/25/25,9903.01.25,
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,6206.40.30,"Women's or girls' blouses and shirts, not knitted or crocheted, of manmade fibers, nesoi"
NY N350798,7/25/25,9903.01.25,
NY N351218,7/25/25,9903.01.24,
NY N351218,7/25/25,6815.99.41,"Articles of stone or of other mineral substances, nesoi"
NY N351218,7/25/25,6815.99.41,"Articles of stone or of other mineral substances, nesoi"
NY N351218,7/25/25,6815.99.41,"Articles of stone or of other mineral substances, nesoi"
NY N351218,7/25/25,6815.99.41,"Articles of stone or of other mineral substances, nesoi"
NY N351218,7/25/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351218,7/25/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351218,7/25/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351218,7/25/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351218,7/25/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351218,7/25/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N351218,7/25/25,9903.01.25,
NY N351417,7/25/25,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N351417,7/25/25,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N351417,7/25/25,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N351417,7/25/25,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N351417,7/25/25,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N351417,7/25/25,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N351417,7/25/25,9903.01.25,
NY N351521,7/25/25,9903.01.25,
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,7616.99.51,"Aluminum, articles, nesoi"
NY N351521,7/25/25,9903.85.07,
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
HQ H305273,7/24/25,3926.40.00,"Statuettes and other ornamental articles, of plastics"
NY N350567,7/24/25,9817.85.01,"Prototypes to be used exclusively for development, testing, product evaluation, or quality control purposes"
NY N350567,7/24/25,9817.85.01,"Prototypes to be used exclusively for development, testing, product evaluation, or quality control purposes"
NY N350567,7/24/25,9817.85.01,"Prototypes to be used exclusively for development, testing, product evaluation, or quality control purposes"
NY N350567,7/24/25,9817.85.01,"Prototypes to be used exclusively for development, testing, product evaluation, or quality control purposes"
NY N350567,7/24/25,9817.85.01,"Prototypes to be used exclusively for development, testing, product evaluation, or quality control purposes"
NY N350567,7/24/25,9817.85.01,"Prototypes to be used exclusively for development, testing, product evaluation, or quality control purposes"
